source_table,itemid,category,label,feature_name,unit_or_window,type,transform_note,binning,final_usage
patients,,,anchor_age,age,,numeric,,static,1
patients,,,gender,gender,,binary,,static,1
chartevents,228332,,Delirium assessment,delirium,Positive/Negative/UTA,binary,"Positive=1, Negative=0, UTA/other=NaN; primary outcome label",at least once,1
chartevents,228096,,Richmond-RAS Scale,rass,-5 to +4,ordinal,value (text) -> integer,aggregation,1
chartevents,220739,,GCS - Eye Opening,gcs_eye,1 to 4,ordinal,use valuenum,aggregation,1
chartevents,223900,,GCS - Verbal Response,gcs_verbal,1 to 5,ordinal,use valuenum,aggregation,1
chartevents,223901,,GCS - Motor Response,gcs_motor,1 to 6,ordinal,use valuenum,aggregation,1
chartevents,220045,,Heart Rate,heart_rate,bpm,numeric,,aggregation,1
chartevents,220210,,Respiratory Rate,respiratory_rate,insp/min,numeric,,aggregation,1
chartevents,220277,,O2 saturation pulseoxymetry,spo2,%,numeric,,aggregation,1
chartevents,220227,,Arterial O2 Saturation,sao2,%,numeric,,aggregation,0
chartevents,220179,,Non Invasive Blood Pressure systolic,sbp,mmHg,numeric,,aggregation,1
chartevents,220180,,Non Invasive Blood Pressure diastolic,dbp,mmHg,numeric,,aggregation,1
chartevents,220181,,Non Invasive Blood Pressure mean,mbp,mmHg,numeric,,aggregation,1
chartevents,220050,,Arterial Blood Pressure systolic,sbp,mmHg,numeric,,aggregation,1
chartevents,225309,,ART BP Systolic,sbp,mmHg,numeric,,aggregation,1
chartevents,220051,,Arterial Blood Pressure diastolic,dbp,mmHg,numeric,,aggregation,1
chartevents,225310,,ART BP Diastolic,dbp,mmHg,numeric,,aggregation,1
chartevents,220052,,Arterial Blood Pressure mean,mbp,mmHg,numeric,,aggregation,1
chartevents,223761,,Temperature Fahrenheit,temperature,degF,numeric,convert Fahrenheit to Celsius,aggregation,1
chartevents,223762,,Temperature Celsius,temperature,degC,numeric,,aggregation,1
chartevents,226512,,Admission Weight (Kg),weight,kg,numeric,,static,1
chartevents,226531,,Admission Weight (lbs.),weight,lbs,numeric,convert lb to kg,static,1
chartevents,224639,,Daily Weight,weight,kg,numeric,,static,1
chartevents,226730,,Height (cm),height,cm,numeric,,static,0
chartevents,226707,,Height,height,Inch,numeric,convert inches to cm,static,0
chartevents,220621,,Glucose (serum),glucose,mg/dL,numeric,,aggregation,1
chartevents,226537,,Glucose (whole blood),glucose,mg/dL,numeric,,aggregation,1
labevents,50931,blood chemistry,Glucose,glucose,mg/dL,numeric,,aggregation,1
labevents,52569,blood chemistry,Glucose,glucose,mg/dL,numeric,,aggregation,1
labevents,50803,blood gas,"Calculated Bicarbonate, Whole Blood",bicarbonate,mEq/L,numeric,,most recent,0
labevents,50893,blood chemistry,"Calcium, Total",calcium,mg/dL,numeric,,most recent,1
chartevents,225625,,Calcium non-ionized,calcium,mg/dL,numeric,,most recent,1
labevents,50902,blood chemistry,Chloride,chloride,mEq/L,numeric,,most recent,1
labevents,52535,blood chemistry,Chloride,chloride,mEq/L,numeric,,most recent,1
labevents,50983,blood chemistry,Sodium,sodium,mEq/L,numeric,,most recent,1
labevents,52623,blood chemistry,Sodium,sodium,mEq/L,numeric,,most recent,1
labevents,50824,blood gas,"Sodium, Whole Blood",sodium,mEq/L,numeric,,most recent,1
labevents,50971,blood chemistry,Potassium,potassium,mEq/L,numeric,,most recent,1
labevents,52610,blood chemistry,Potassium,potassium,mEq/L,numeric,,most recent,1
labevents,50822,blood gas,"Potassium, Whole Blood",potassium,mEq/L,numeric,,most recent,1
chartevents,227464,,Potassium (whole blood),potassium,mEq/L,numeric,,most recent,1
labevents,50866,blood chemistry,Ammonia,ammonia,umol/L,numeric,,most recent,1
labevents,50902,blood chemistry,Chloride,chloride,mEq/L,numeric,,most recent,1
